,stars,displayName,numberOfReviews,trustScore,address,city,zipcode,country,website,email,phone,agency_type
10,1.5,AXA Travel Insurance UK,1220,1.3,,,,United States,http://axa-travel-insurance.com,,,"Insurance Agency,Insurance Company,Travel Insurance Company"
11,5.0,Travel Defenders,1218,4.9,,,,United States,http://traveldefenders.com,,,"Insurance Agency,Travel Agency,Travel Insurance Company,Financial Consultant"
12,4.5,Traveler Assistance Services,1205,4.5,"792 Bell Tower Lane Weston, Weston Florida","Weston, Florida",33326,United States,http://www.traveler-assistance.com,gerencia@traveler-assistance.com,+1 305 767 4008 ,"Travel Agency,Travel Insurance Company"
13,4.0,The Lodging Company,1091,3.8,,,,United States,http://www.lodgingcompany.com,,1-888-676-9977,"Ski Holidays,Vacation Rental,Hotel,Travel Insurance Company,Travel Agency,Tour Operator,Cottage"
14,4.0,FanShield,1060,3.8,,Phoenix,,United States,https://fanshield.com,help@fanshield.com,,"Travel Insurance Company,Software Company,Event Technology Service"
15,5.0,"Visitors Insurance - Community Insurance Agency, Inc.",969,4.8,425 Huehl Road Suite 22A,Northbrook,60062,United States,http://www.visitorsinsurance.com,info@visitorsinsurance.com,800-344-9540,"Life Insurance Agency,Travel Agency,Insurance Agency,Insurance Broker,Health Insurance Agency,Travel Insurance Company"
16,3.5,Trip Mate,909,3.3,P.O Box ,Hazelwood,63042,United States,http://tripmate.com,,,"Insurance Company,Travel Insurance Company"
17,4.5,Bonzah.com,888,4.4,800 4th Ave # 1041,Grinnell,50112,United States,https://www.bonzah.com,admin@pablow.com,+1-866-266-0505,"Travel Agency,Van Rental Agency,Car Sharing Location,Travel Insurance Company,Liability Insurance Company,Car Rental Agency"
18,4.5,Faye Travel Insurance,725,4.7,,,,United States,http://www.withfaye.com,,,"Travel Insurance Company,Insurance Company,Insurance Agency"
19,4.5,WorldTrips,615,4.3,"4 Carter Green, Ste. 400",Carmel,46032,United States,http://worldtrips.com,reviews@worldtrips.com,1-800-605-2282,Travel Insurance Company
20,4.0,Travel Insured International,517,4.2,Winding Brook Drive 855,Glastonbury,06033,United States,http://www.travelinsured.com,,,Travel Insurance Company
21,4.0,Trawick International,507,4.0,300 Fairhope Avenue,Fairhope,36532,United States,http://www.trawickinternational.com,info@trawickinternational.com,251-661-0924 or Toll Free 888-301-9289,"Travel Insurance Company,Travel Agency"
22,4.0,Travelex Insurance Services,493,4.1,"810 North 96th Street, Suite 300",Omaha,68114,United States,https://www.travelexinsurance.com,customersolutions@travelexinsurance.com,1-800-228-9792,"Insurance Agency,Travel Insurance Company"
23,3.5,Generali Travel - USA,454,3.4,,San Diego,92123,United States,http://www.generalitravelinsurance.com,,,Travel Insurance Company
24,5.0,CruiseInsurance 101,440,4.9,,,,United States,http://cruiseinsurance101.com,,,"Travel Agency,Insurance Agency,Financial Consultant,Travel Insurance Company"
25,5.0,INF Insurance,427,4.9,7065 Westpointe Blvd.,Orlando,32835,United States,http://inf.insure,support@inf.insure,408-222-1110,Travel Insurance Company
26,5.0,Travel Insurance Center,379,4.8,8420 Dodge Rd.,Omaha,68114,United States,http://travelinsurancecenter.com,dan@travelinsurancecenter.com,1-866-979-6753,"Travel Insurance Company,Insurance Broker,Insurance Agency"
27,5.0,"Hop! Insurance: Travel, Medical, and Assistance",229,4.8,7065 Westpointe Blvd,Orlando,32835,United States,http://hop.insure,support@hop.insure,408-222-1110,Travel Insurance Company
28,4.0,Arch Red Sky Insurance,222,4.1,"11350 McCormick Rd,  Ste 102, Executive Plaza IV","Hunt Valley, MD",21085,United States,https://www.redskyinsurance.com/,info@redskyinsurance.com,866-549-5283,Travel Insurance Company
29,3.0,Columbus Assicurazioni,169,2.8,Italy,Italy,Italy,United States,http://columbusassicurazioni.it,sales@columbusdirect.com,,Travel Insurance Company
30,3.0,insurewithease.com,165,3.0,"Kao Hockham Building, Edinburgh Way",Harlow,CM20 2NQ,United States,http://insurewithease.com,help@insurewithease.com,,Travel Insurance Company
31,4.0,Insured Nomads,147,4.1,"120 19th St N, Suite 401",Birmingham,35203,United States,http://www.insurednomads.com,hello@insurednomads.com,(205) 767-0507,"Travel Insurance Company,Insurance Agency,Financial Consultant,Student Insurance Company,Insurance Company"
32,5.0,Pteet.com,142,4.8,"321 E Walnut Street, Suite 130",Des Moines,50309,United States,https://www.pteet.com,admin@pteet.com,16504714495,"Car Rental Agency,Car Accessories Store,Travel Insurance Company,Travel Agency"
33,5.0,EazyFares,135,4.8,9658 Adora Ter,Riverside,92508,United States,http://www.eazyfares.com,support@eazyfares.com,+1(310)-882-5797,"Travel Aggregator,Airline Ticket Agency,Travel Agency,Flights Search Site,Travel Insurance Company"
34,4.5,Aon Affinity Travel Practice,72,4.5,900 Stewart Avenue #400,Garden City,11530-4855,United States,http://aontravelclaim.com,travelprotect@aon.com,(800) 453-4027,"Travel Insurance Company,Insurance Broker"
35,5.0,CAP™ Travel Assistance Plans,60,4.8,861 SW 78th Avenue Suite B200 ,Plantation,FL 33324,United States,https://www.captravelassistance.com/,cap@wwfocus.com,866-340-8569,Travel Insurance Company
36,5.0,TravelInsurance.com,57,4.8,,,,United States,http://travelinsurance.com,,,Travel Insurance Company
37,2.5,TinLeg,56,2.4,"180 River Road, 2nd Floor",Summit,07901,United States,http://tinleg.com,info@tinleg.com,844-240-1233,Travel Insurance Company
38,5.0,Golden Rule Travel,53,4.8,"6834 County Road 672, Suite 102",Millersburg,44654,United States,http://goldenruletravel.com,sales@goldenruletravel.com,+1 (330) 893-1501,"Airline Ticket Agency,Travel Insurance Company,Travel Aggregator,Travel Agency"
39,4.5,Compara Assist,32,4.7,,,,United States,http://comparaassist.com,info@comparaassist.com,+14072146098,"Travel Agency,Travel Insurance Company"
40,3.5,LODGE ME - SIÈGE SOCIAL,24,3.7,"2201 Menaul Boulevard Northeast,",Albuquerque,87107,United States,http://lodgeme.com,team@lodgeme.com,+1 (505) 605 7771,"Travel Agency,Travellers Lodge,Cruise Travel Agency,Tour Operator,Travel Insurance Company,Travel Aggregator"
41,4.0,WeatherPromise,15,4.1,PO Box 2012,Morristown,07962,United States,http://www.weatherpromise.com,support@weatherpromise.com,(603) 574-4908,Travel Insurance Company
42,4.5,Wanderwell,11,4.4,1661 SE 3rd Ave,Portland,97214,United States,http://gowanderwell.com,support@gowanderwell.com,1-844-992-6337,Travel Insurance Company
43,4.5,LuxFares,9,4.3,261 E Colorado Blvd,Pasadena,91101,United States,http://www.luxfares.com,info.luxfares@gmail.com,+1 (626) 395-0366,"Travel Agency,Flights Search Site,Travel Insurance Company,Hotel"
44,2.5,My lux vacation,9,2.7,Zestar Dr,Mechanicsburg,17055,United States,http://myluxvacation.com,info@myluxvacation.com,7177595833,"Travel Agency,Sightseeing Tour Agency,Cruise Travel Agency,Travel Insurance Company"
45,2.0,Lavanika,8,2.2,,,,United States,https://lavanika.de,,,Travel Insurance Company
46,4.0,Elite Turkey Tours,5,4.1,"2 West 45th Street, Suite 1503",New York,10036,United States,https://eliteturkeytours.com,hello@eliteturkeytours.com,+1 (201) 724 25 26,"Cruise Travel Agency,Travel Insurance Company,Travellers Lodge,Travel Agency"
47,2.5,TripAssure,5,2.5,9225 ward parkway,Kansas City,64114,United States,http://tripassure.com,clientrelations@tripmate.com,8888000432,Travel Insurance Company
48,4.0,World Alpine Treks,4,3.9,"Nayabazar,kathmandu",kathmandu,44600,United States,http://worldalpinetreks.com,worldalpinetreks@gmail.com,9866049660,"Helicopter Tour Agency,Tourist Attraction,Travel Insurance Company,Travel Agency,Tour Operator,Tour Agency"
49,4.0,All in One Insurance Group,2,3.8,4733 119th Pl SE,Everett,98208,United States,http://allinone-insurance-group.com,contact@allinone-insurance-group.com,14253372456,"Insurance Agency,Auto Insurance Agency,Life Insurance Agency,Home Insurance Agency,Travel Insurance Company,Business Insurance Company"
50,3.5,Coe Connections,1,3.7,Burnham Road,Battlesbridge,SS11 7QT,United States,http://coeconnections.co.uk,,,Travel Insurance Company
51,3.5,The Travel Outlet,1,3.7,,,,United States,http://thetraveloutlet.com,,,"Airport,Travel Insurance Company,International Airport,Travel lounge,Travel Agency,Domestic Airport"
52,0.0,Towerhillcorp,0,0.0,16538 lacey ln,Missouri city,77489,United States,http://www.towerhillcorp.com,Support@towerhillcorp.com,832-856-1704,"Life Insurance Agency,Insurance Agency,Travel Insurance Company,Health Insurance Agency,Dental Insurance Agency"
53,0.0,SelfLinker,0,0.0,,,,United States,http://selflinker.com,,,Travel Insurance Company
54,0.0,WORLD MEDIC ASSIST,0,0.0,3550 NW 85TH COURT DORAL ,FLORIDA,33122,United States,http://worldmedicassist.com,info@worldmedicassist.com,,Travel Insurance Company
55,0.0,Lavanika,0,0.0,,,,United States,https://lavanika.de,,,Travel Insurance Company
56,0.0,Lavanika,0,0.0,,,,United States,http://www.lavanika.de,,,Travel Insurance Company
57,0.0,Monarch Travel Atelier,0,0.0,"1100 BELLEVUE WAY NE, STE 8A-463",Bellevue,98004,United States,http://travelbymonarch.com,concierge@travelbymonarch.com,4252004721,"Resort,Luxury Hotel,Travel Insurance Company,Travel Agency,Cruise Travel Agency,Boutique Hotel"
58,0.0,Cline & Co. Travel Consulting,0,0.0,3070 Lakecrest Circle Suite 400 #113,Lexington,40513,United States,http://clineandcotravel.com,letsgo@clineandcotravel.com,(888) 409-0041,"Travel Agency,Travel Insurance Company,Cruise Travel Agency"
59,0.0,Goflybuy inc,0,0.0,382 NE 191 st ST PMB 94378,MIAMi,33179,United States,http://gfb.miami,info@gfb.miami,(989) 601-3628,"Travel Clinic,Timeshare Agency,Travel Insurance Company,Travellers Lodge,Travel Agency,Cruise Travel Agency"
