Title of the book,Author/s,Book_type,Original Price(RRP),Discount Price,ISBN-10,Published Date,Publisher,No of pages
The Cost of Living,Deborah Levy,ePUB,14.99,14.99,9780241977576,2018-04-05,Penguin Books Ltd,208
The Circle,Dave Eggers,ePUB,15.99,15.99,9780241967553,2013-10-10,Penguin Books Ltd,320
Eva Fraser's Facial Workout,Eva Fraser,ePUB,14.99,14.99,9780141960777,2000-01-01,Penguin Books Ltd,160
Martin Misunderstood,Karin Slaughter,ePUB,15.99,15.99,9781407005416,2008-12-26,Random House,176
Texas,James A. Michener,ePUB,27.42,21.99,9780804151412,2014-01-21,Random House Publishing Group,
The Second World War,Antony Beevor,ePUB,19.99,19.99,9780297860709,2012-06-07,Orion,736
Digital Minimalism,Cal Newport,ePUB,15.99,15.99,9780241341155,2019-02-05,Penguin Books Ltd,184
Book not found,,,,,,,,
The Wine Bible,Karen MacNeil,ePUB,25.99,25.99,9780761187158,2015-10-13,Workman Publishing Company,1008
A Curse of the Heart,Adele Clee,ePUB,3.99,3.99,9780993283222,2016-11-01,?Adele Clee,
Don't Tell (The Chicago Series Book 1),Karen Rose,ePUB,4.99,4.99,9780755373208,2009-12-10,Headline,300
Your Money or Your Life,Vicki Robin,ePUB,22.29,17.99,9781101539705,2008-12-10,Penguin Publishing Group,368
Strange Affair,Peter Robinson,ePUB,12.35,8.95,9780330469449,2008-09-04,None,
The Ball is Round,David Goldblatt,ePUB,19.99,19.99,9780141911540,2007-08-30,Penguin Books Ltd,992
Book not found,,,,,,,,
A Murder of Quality,John le Carré,ePUB,15.99,15.99,9780141967455,2011-05-26,Penguin Books Ltd,192
The Living Mountain,Nan Shepherd,ePUB,21.08,16.99,9780857863607,2008-11-15,Canongate Books,108
The Art of Being Brilliant,Andy Cope,ePUB,16.99,16.99,9780857083739,2016-05-18,Wiley,216
The Body Keeps the Score,Bessel van der Kolk,ePUB,18.99,18.99,9780141978628,2014-09-25,Penguin Books Ltd,256
The Red Room,Nicci French,ePUB,15.99,15.99,9780141918440,2008-03-06,Penguin Books Ltd,448
A Manor in Cornwall,Laura Briggs,ePUB,0.99,0.99,9781370889785,2017-04-03,Laura Briggs,
Book not found,,,,,,,,
The Union Street Bakery,Mary Ellen Taylor,ePUB,11.52,10.99,9781101619292,2013-02-05,Penguin Publishing Group,352
Eve of Man,Tom Fletcher,ePUB,15.99,15.99,9781405927154,2018-05-31,Penguin Books Ltd,400
'Rommel?' 'Gunner Who?',Spike Milligan,ePUB,14.99,14.99,9780241966174,2012-12-13,Penguin Books Ltd,208
Don Quixote,Miguel Cervantes,ePUB,14.99,14.99,9780141908335,2003-01-30,Penguin Books Ltd,1056
Book not found,,,,,,,,
Dork Diaries,Rachel Renee Russell,ePUB,9.99,9.99,9780857076748,2011-12-22,Simon & Schuster UK,288
Rome's Executioner,Robert Fabbri,ePUB,5.99,5.99,9780857896766,2012-05-01,Corvus,300
Day of the Dead,Nicci French,ePUB,15.99,15.99,9781405918664,2018-07-12,Penguin Books Ltd,320
Book not found,,,,,,,,
The Killing Place,Tess Gerritsen,ePUB,15.99,15.99,9781407054735,2010-06-24,Transworld,448
Book not found,,,,,,,,
Zed,Joanna Kavenna,ePUB,13.19,11.99,9780571321834,2019-07-02,Faber & Faber,288
Grown Ups,Marian Keyes,ePUB,15.99,15.99,9781405918800,2020-02-06,Penguin Books Ltd,656
After the Party,Cressida Connolly,ePUB,15.99,15.99,9780241327746,2018-06-07,Penguin Books Ltd,304
Endurance,Alfred Lansing,Paperback,36.9,36.9,9780842308243,1999-05-01,TYNDALE PUB                   ,272
The Garden of Happy Endings,Barbara O'Neal,ePUB,11.99,10.99,9780345534460,2012-04-17,Random House Publishing Group,
Husbands,Adele Parks,ePUB,11.99,11.99,9780755394586,2012-03-29,Headline,368
How to Starve Cancer,Jane McLelland,ePUB,5.5,5.25,9780951951729,2018-08-01,Agenor Publishing,250
Cat's Eye,Margaret Atwood,ePUB,11.99,11.99,9780748113293,2009-09-03,"Little, Brown Book Group",432
The Alloy of Law,Brandon Sanderson,ePUB,12.99,12.99,9780575105843,2011-11-10,Orion,336
Who Buries the Dead,C. S. Harris,ePUB,11.72,10.99,9781101609798,2015-03-03,Penguin Publishing Group,352
Neverwhere,Neil Gaiman,ePUB,11.99,11.99,9780755379958,2010-11-11,Headline,271
On Liberty,John Stuart Mill,ePUB,4.39,4.39,9781402798801,2012-08-07,Sterling,
Tell Me a Secret,Jane Fallon,ePUB,15.99,15.99,9781405933131,2019-01-10,Penguin Books Ltd,448
Caliban's War,James S. A. Corey,ePUB,11.99,11.99,9780748122974,2012-06-07,"Little, Brown Book Group",448
Stardust,Neil Gaiman,ePUB,12.99,12.99,9780755380022,2010-09-30,Headline,300
Book not found,,,,,,,,
Book not found,,,,,,,,
It's Not Your Money,Tosha Silver,ePUB,19.06,15.99,9781401954741,2019-02-05,Hay House,
Eric,Terry Pratchett,ePUB,11.99,11.99,9780575123151,2012-12-20,Orion,160
Depth of Despair,Bill Kitson,ePUB,5.49,4.95,9780709095149,2011-10-31,Robert Hale,224
Tom Clancy's Enemy Contact,Mike Maden,ePUB,14.99,14.99,9781405942386,2019-06-13,Penguin Books Ltd,400
Percy Jackson and the Last Olympian,Rick Riordan,ePUB,12.99,12.99,9780141962306,2009-05-05,Penguin Books Ltd,368
Home,Julie Andrews,ePUB,21.99,21.99,9781401395421,2008-04-01,Hachette Books,352
Fever,Maya Banks,ePUB,10.27,9.99,9781101620380,2013-04-02,Penguin Publishing Group,1
"Finding Ultra, Revised and Updated Edition",Rich Roll,ePUB,8.55,7.99,9780307952219,2012-05-22,Harmony/Rodale,
Book not found,,,,,,,,
Better Homes and Gardens Make-Ahead Meals,Better Homes and Gardens,ePUB,27.75,27.75,9780544456846,2015-08-04,HMH Books,300
Becoming,Michelle Obama,ePUB,16.99,16.99,9780241334157,2018-11-13,Penguin Books Ltd,400
The 7th Victim,Mary Burton,ePUB,15.99,15.99,9781405909730,2013-03-14,Penguin Books Ltd,432
Do No Harm,Henry Marsh,ePUB,11.99,11.99,9780297869887,2014-03-13,Orion,320
"Goodbye, Things",Fumio Sasaki,ePUB,15.99,15.99,9780141986395,2017-04-11,Penguin Books Ltd,288
Psychopath Free (Expanded Edition),Jackson MacKenzie,ePUB,25.7,20.99,9780698190214,2015-09-01,Penguin Publishing Group,
The Whole30's Food Freedom Forever,Melissa Hartwig Urban,ePUB,12.99,12.99,9780544838307,2016-10-04,HarperCollins,
The Wise Man's Fear,Patrick Rothfuss,ePUB,12.99,12.99,9780575088078,2011-03-01,Orion,1008
A Stranger in Honeyfield,Anna Jacobs,ePUB,14.38,12.99,9780749020200,2016-02-16,Allison & Busby,300
Brothers in Blood (Eagles of the Empire 13),Simon Scarrow,ePUB,11.99,11.99,9780755393954,2014-10-09,Headline,448
The Minor Adjustment Beauty Salon,Alexander McCall Smith,ePUB,11.99,11.99,9781405520591,2013-10-03,"Little, Brown Book Group",256
Breaking Dawn,Stephenie Meyer,ePUB,11.99,11.99,9780748112555,2009-02-26,"Little, Brown Book Group",768
Real Baby Food,Jenna Helwig,ePUB,29.69,23.99,9780544464964,2024-02-27,HarperCollins,208
Charlie,Lesley Pearse,ePUB,15.99,15.99,9780141903736,2006-07-06,Penguin Books Ltd,704
Book not found,,,,,,,,
Book not found,,,,,,,,
Mustache Baby,Bridget Heos,ePUB,11.99,11.99,9780547773995,2013-05-14,HarperCollins,
Of Mice and Men,Susan Shillinglaw,ePUB,15.99,15.99,9780141923475,2000-09-07,Penguin Books Ltd,144
Golden Buddha,Clive Cussler,ePUB,14.99,14.99,9780141914732,2012-07-05,Penguin Books Ltd,544
The Traitor Queen,Trudi Canavan,ePUB,12.99,12.99,9780748128624,2012-08-02,"Little, Brown Book Group",592
How to Talk to Anyone,Leil Lowndes,Paperback,24.99,21.75,9780722538074,1999-04-28,HarperCollins Publishers,352
Mindfulness for Health,Vidyamala Burch,ePUB,15.99,15.99,9781405522519,2013-09-05,"Little, Brown Book Group",288
Testament of Youth,Vera Brittain,ePUB,12.99,12.99,9780297859147,2009-07-16,Orion,608
The Rotten Heart of Europe,Bernard Connolly,ePUB,13.19,11.99,9780571301751,2013-01-15,Faber & Faber,480
Book not found,,,,,,,,
Grandmothers,Salley Vickers,ePUB,15.99,15.99,9780241985427,2019-11-07,Penguin Books Ltd,400
The Third Man and the Fallen Idol,Graham Greene,ePUB,15.99,15.99,9781407086767,2010-10-02,Random House,160
Book not found,,,,,,,,
Twins,Kate Kray,E-Book,0.0,0.0,9781306015974,2002-01-01,BLAKE PUBLISHING,287
Little Women,Louisa May Alcott,E-Book,0.0,0.0,9781306265362,2011-01-01,Calico Chapter Books,114
Going on the Turn,Danny Baker,ePUB,12.99,12.99,9780297870142,2017-10-05,Orion,288
Hyperion,Dan Simmons,ePUB,4.99,4.99,9780575099968,2010-08-05,Orion,480
Book not found,,,,,,,,
Without Fail,Lee Child,ePUB,16.99,16.99,9781407070643,2008-09-04,Transworld,576
A Study in Death,Anna Lee Huber,ePUB,11.72,10.99,9780698181502,2015-07-07,Penguin Publishing Group,
The Polaris Protocol,Brad Taylor,ePUB,14.25,14.25,9780698148451,2014-01-14,Penguin Publishing Group,400
This Is Not A Drill,Extinction Rebellion,ePUB,14.99,14.99,9780141991450,2019-06-13,Penguin Books Ltd,160
Arsenic For Tea,Robin Stevens,ePUB,9.99,9.99,9780141369808,2016-02-25,Penguin Random House Children's UK,352
Dress Your Family In Corduroy And Denim,David Sedaris,ePUB,12.99,12.99,9780748125944,2010-09-16,"Little, Brown Book Group",272
Red Mist,Patricia Cornwell,ePUB,11.99,11.99,9780748118939,2011-11-26,"Little, Brown Book Group",512
Nightfall Berlin,Jack Grimwood,ePUB,15.99,15.99,9781405921732,2018-05-17,Penguin Books Ltd,400
Naked in Death,J.D. Robb,ePUB,11.99,11.99,9780748121755,2010-10-07,"Little, Brown Book Group",320
A Place Called Freedom,Ken Follett,ePUB,13.95,10.4,9780330465670,2008-09-04,None,
Road to Character,David Brooks,E-Book,0.0,0.0,9780679645030,2015-01-01,Random House Publishing Group,
Mercy,Jodi Picoult,ePUB,29.75,29.75,9781101549537,1996-08-08,None,1
On Fire,Naomi Klein,ePUB,18.99,18.99,9780241410745,2019-09-17,Penguin Books Ltd,224
The Lies of Locke Lamora,Scott Lynch,ePUB,12.99,12.99,9780575086005,2008-09-18,Orion,544
Book not found,,,,,,,,
Council of Twelve,Oliver Potzsch,Paperback,42.0,42.0,9781328508317,2018-05-29,MARINER BOOKS                 ,512
Maigret and Monsieur Charles,Georges Simenon,ePUB,15.99,15.99,9780241304433,2020-01-09,Penguin Books Ltd,160
A Dirty Shame,Liliana Hart,ePUB,10.99,10.99,9780985228736,2012-10-27,7th Press,
The Reluctant Fundamentalist,Mohsin Hamid,ePUB,15.99,15.99,9780141923642,2008-04-24,Penguin Books Ltd,224
Playful Parenting,Lawrence J. Cohen,ePUB,22.29,17.99,9780307489609,2008-11-19,Random House Publishing Group,
The Runaway Jury,John Grisham,ePUB,15.99,15.99,9781407059457,2010-04-21,Random House,496
Magic Shifts,Ilona Andrews,ePUB,14.66,11.99,9780698136779,2015-08-04,Penguin Publishing Group,
High Fidelity,Nick Hornby,ePUB,15.99,15.99,9780141925073,2005-05-05,Penguin Books Ltd,256
The Novice,Trudi Canavan,ePUB,14.99,14.99,9780748116676,2010-01-07,"Little, Brown Book Group",592
Little Women,Louisa May Alcott,E-Book,0.0,0.0,9781306265362,2011-01-01,Calico Chapter Books,114
The Last Wish,Andrzej Sapkowski,ePUB,12.99,12.99,9780575099913,2010-08-19,Orion,288
Travels with Charley,Jay Parini,ePUB,15.99,15.99,9780141190662,2001-03-01,Penguin Books Ltd,240
Anybody Out There,Marian Keyes,ePUB,15.99,15.99,9780141904757,2007-02-08,Penguin Books Ltd,608
A Big Boy Did It And Ran Away,Christopher Brookmyre,ePUB,12.99,12.99,9780748132003,2011-06-16,"Little, Brown Book Group",512
The Gathering Storm,Robert Jordan,ePUB,12.99,12.99,9780748115457,2010-10-07,"Little, Brown Book Group",672
Three Tang Dynasty Poets,Penguin Books Ltd,ePUB,4.99,4.99,9780141398211,2015-02-26,Penguin Books Ltd,80
Burn Fat Fast,Kate Staples,ePUB,9.99,9.99,9781405528733,2013-06-06,"Little, Brown Book Group",96
Blood Rites,Jim Butcher,ePUB,11.99,11.99,9780748116119,2010-03-04,"Little, Brown Book Group",464
The Man From St Petersburg,Ken Follett,Paperback,21.99,21.75,9781509862344,2019-05-28,Pan Macmillan UK,464
Remote Control,Andy McNab,ePUB,15.99,15.99,9781407039176,2008-10-02,Transworld,512
Dune,Frank Herbert,ePUB,11.99,11.99,9780575104419,2010-12-30,Orion,624
Leaders Eat Last,Simon Sinek,ePUB,16.99,16.99,9780670923182,2014-01-09,Penguin Books Ltd,256
Every Breath,Nicholas Sparks,ePUB,11.99,11.99,9780751567779,2018-10-16,"Little, Brown Book Group",320
Book not found,,,,,,,,
"Sister, Missing",Sophie McKenzie,ePUB,10.99,10.99,9780857072900,2011-09-15,Simon & Schuster UK,1
Book not found,,,,,,,,
The Skeleton Road,Val McDermid,ePUB,11.99,11.99,9781405523134,2014-09-11,"Little, Brown Book Group",416
Closing the Vocabulary Gap,Alex Quigley,ePUB,36.29,36.29,9781351624534,2018-04-06,Taylor & Francis,
The Glass Room,Simon Mawer,ePUB,11.99,11.99,9780748115686,2009-08-20,"Little, Brown Book Group",416
Death of a Salesman,Arthur Miller,ePUB,10.99,10.99,9780141903958,2013-05-03,Penguin Books Ltd,112
The Paper Moon,Andrea Camilleri,Paperback,21.99,21.75,9781529043846,2021-07-27,Pan Macmillan UK,288
Seven Brief Lessons on Physics,Carlo Rovelli,ePUB,14.99,14.99,9780241235973,2015-09-24,Penguin Books Ltd,96
The Paleo Diet,Loren Cordain,ePUB and PDF,11.99,11.99,9781118001318,2010-11-29,John Wiley & Sons Australia,304
Forgive Me,Lesley Pearse,ePUB,15.99,15.99,9780718159023,2013-02-14,Penguin Books Ltd,512
Noughts & Crosses,Malorie Blackman,ePUB,12.99,12.99,9781407047966,2008-12-26,RHCP,512
A Winter Flame,Milly Johnson,ePUB,9.99,9.99,9780857208996,2012-10-25,Simon & Schuster UK,416
Stone Cold,Robert Swindells,ePUB,12.99,12.99,9780141927589,2005-01-27,Penguin Random House Children's UK,144
"Walden; Or, Life in the Woods",Henry David Thoreau,ePUB,1.45,1.45,9780486132532,2012-03-22,Dover Publications,224
Paradise Lost,John Milton,ePUB,1.45,1.45,9780486113241,2012-04-06,Dover Publications,480
The Kingmaker's Daughter,Philippa Gregory,ePUB,13.99,13.99,9780857207500,2012-08-16,Simon & Schuster UK,464
The Summer That Never Was,Peter Robinson,ePUB,12.35,8.95,9780330514507,2009-08-21,None,
The War that Saved My Life,Kimberly Brubaker Bradley,ePUB,23.95,23.95,9781101637807,2015-01-08,None,
Intuitive Eating,,ePUB,10.83,9.45,9781250014184,2012-08-07,St. Martin's Publishing Group,
Lady Isabella's Ogre,Emily Larkin,ePUB,7.99,7.99,9780995105003,2017-12-05,Emily Larkin,
Viking Slave,Griff Hosker,ePUB,8.15,8.15,9781310514760,2015-05-14,Griff Hosker,
Northern Lights,Nora Roberts,ePUB,12.99,12.99,9780748110193,2008-10-02,"Little, Brown Book Group",544
The Lost Symbol,Dan Brown,Hardcover,58.99,44.4,9780593054277,2009-09-01,Transworld Publishers Ltd,528
Book not found,,,,,,,,
The Paying Guests,Sarah Waters,ePUB,12.99,12.99,9780349004594,2014-08-28,"Little, Brown Book Group",576
How to be a Victorian,Ruth Goodman,ePUB,15.99,15.99,9780241958346,2013-06-27,Penguin Books Ltd,400
El Murmullo de Las Abejas,Sofia Segovia,E-Book,0.0,0.0,9781101912508,2015-04-28,Vintage Espanol,331
The Road,Cormac McCarthy,Paperback,21.99,21.25,9780330468466,2009-12-01,Pan Macmillan UK,324
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,ePUB,12.99,12.99,9780007287758,2009-01-08,HarperCollins Publishers,544
Diary Of The Heart,W. R. Watkins,ePUB,0.0,0.0,9781310697883,2016-03-10,W. R. Watkins,
The Look Of Love,Bella Andre,ePUB,0.0,0.0,9780983720201,2012-04-11,"Oak Press, LLC",115
Baby-Led Feeding,Jenna Helwig,ePUB,26.99,26.99,9780544963429,2018-03-13,HarperCollins,208
Diabetic Living Diabetes Meals by the Plate,Diabetic Living Editors,ePUB,27.75,27.75,9780544302341,2014-12-30,HMH Books,
Damage Control,Robert Dugoni,ePUB,17.99,17.99,9780759518162,2007-02-14,Grand Central Publishing,300
Total Control,David Baldacci,ePUB,11.5,8.5,9780330523332,2011-05-16,None,624
Shadow Spell,Nora Roberts,ePUB,16.99,16.99,9781405517843,2014-03-25,"Little, Brown Book Group",352
Unlocking Destinies From the Courts of Heaven Leader's Guide,Robert Henderson,Paperback,28.5,28.5,9780768413793,2017-03-21,None,192
Sleepyhead,Mark Billingham,ePUB,12.99,12.99,9780748109531,2008-09-04,"Little, Brown Book Group",432
Captain Hornblower R.N.,C.S. Forester,ePUB,15.99,15.99,9780141959153,2000-01-01,Penguin Books Ltd,576
The Final Empire,Brandon Sanderson,ePUB,11.99,11.99,9780575097742,2010-03-30,Orion,672
Tenth of December,George Saunders,Paperback,22.99,20.35,9781408894811,2017-12-01,Bloomsbury,288
The Dip,Seth Godin,ePUB,11.99,11.99,9780748129270,2011-02-03,"Little, Brown Book Group",96
Liberation Square,Gareth Rubin,ePUB,15.99,15.99,9781405930628,2019-04-18,Penguin Books Ltd,400
The Shack,William P. Young,ePUB,19.99,19.99,9780964729292,2008-06-20,Windblown Media,300
Red Carpets And Other Banana Skins,Rupert Everett,ePUB,12.99,12.99,9780748109784,2008-09-04,"Little, Brown Book Group",416
Invasion,Julian Stockwin,E-Book,0.0,0.0,9781306063791,2009-01-01,McBooks Press,307
It's Not OK to Feel Blue (and other lies),Scarlett Curtis,ePUB,12.99,12.99,9780241410967,2019-10-03,Penguin Random House Children's UK,576
Decline and Fall of the Roman Empire,Edward Gibbon,ePUB,27.42,21.99,9780812984835,2013-01-28,Random House Publishing Group,
Mornings on Horseback,David McCullough,ePUB,12.99,12.99,9780743218306,2007-05-31,Simon & Schuster,448
Enemy of God,Bernard Cornwell,ePUB,15.99,15.99,9780141929125,2007-11-01,Penguin Books Ltd,496
The Chain,Adrian McKinty,Hardcover,48.4,48.4,9780316531269,2019-07-09,Mulholland Books,368
The Burning Maze (The Trials of Apollo Book 3),Rick Riordan,ePUB,9.99,9.99,9780141364025,2018-05-01,Penguin Random House Children's UK,528
Gone,Michael Grant,ePUB,9.99,9.99,9780061909641,2009-05-19,HarperCollins,576
Book not found,,,,,,,,
The Dark Monk,Oliver Potzsch,Paperback with Flaps on Inside & Back Covers,36.0,35.4,9780547807683,2012-06-12,Houghton Mifflin,463
The Other Side of the Dale,Gervase Phinn,ePUB,14.99,14.99,9780141925165,2000-01-01,Penguin Books Ltd,288
Cross,James Patterson,ePUB,12.99,12.99,9780755387120,2011-04-28,Headline,321
Book not found,,,,,,,,
Book not found,,,,,,,,
A Week in the Life of Corinth,Ben Witherington Ii,Paperback,32.96,32.96,9780830839629,2012-03-30,InterVarsity Press,159
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Can't Anyone Help Me?,Toni Maguire,ePUB,14.99,14.99,9780141966731,2011-07-07,Penguin Books Ltd,288
Book not found,,,,,,,,
The Biology of Belief,Bruce H. Lipton,ePUB and PDF,20.0,14.95,9781401923440,2008-09-15,"Hay House UK, Limited",204
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Expression of the Emotions in Man and Animal,Charles Darwin,Paperback,34.99,32.5,9780486817316,2018-03-01,Dover Publications Inc.,416
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Forgotten 500,Gregory A. Freeman,ePUB,23.99,19.99,9781101032343,2008-09-02,Penguin Publishing Group,336
Book not found,,,,,,,,
Book not found,,,,,,,,
Mary Berry's Christmas Collection,Mary Berry,ePUB,14.99,14.99,9780755364435,2013-09-26,Headline,288
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Quiet,Susan Cain,ePUB,14.99,14.99,9780141970172,2012-03-29,Penguin Books Ltd,352
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Dream Book,Stephanie Schureman,Paperback,33.6,33.6,9780768419580,2019-03-19,DESTINY IMAGE INC             ,272
Book not found,,,,,,,,
The Giver (Movie Tie-In Edition),Lois Lowry,Paperback,26.8,26.8,9780544340688,2014-07-01,Clarion Books,256
Book not found,,,,,,,,
Book not found,,,,,,,,
The Falls,Ian Rankin,Paperback,22.99,22.4,9780752883649,2008-10-01,Orion,512
Book not found,,,,,,,,
Convenience Store Woman,Sayaka Murata,Paperback,22.99,20.35,9781846276842,2019-06-03,Granta,176
Book not found,,,,,,,,
Book not found,,,,,,,,
The Sword Saint,C. F. Iggulden,ePUB,15.99,15.99,9780718186838,2019-08-08,Penguin Books Ltd,384
Book not found,,,,,,,,
Jacob's New Dress,Sarah Hoffman,Hardcover,39.75,39.75,9780807563731,2014-04-01,Whitman & Co.,32
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
"Saga, Vol. 2",Brian K. Vaughan,ePUB,16.75,16.75,9781106927613,2013-07-02,None,152
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Odessa Sea,Clive Cussler,ePUB,15.99,15.99,9781405927642,2016-11-17,Penguin Books Ltd,480
Manson,Jeff Guinn,ePUB,13.99,13.99,9780857208958,2013-08-06,Simon & Schuster UK,512
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Heart of the Dales,Gervase Phinn,ePUB,14.99,14.99,9780141902142,2008-06-26,Penguin Books Ltd,400
Bitten,Kelley Armstrong,ePUB,11.99,11.99,9780748108596,2008-09-04,"Little, Brown Book Group",464
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Monster Trucks!,Michael J Doolittle,ePUB,8.79,7.99,9780385374675,2013-07-31,Random House Children's Books,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Cut,Cathy Glass,ePUB,12.99,12.99,9780007287154,2009-01-19,HarperCollins Publishers,320
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Hulk,Greg Pak,ePUB,36.66,29.99,9780785170624,2014-07-30,Marvel Entertainment,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Who,Geoff Smart,ePUB,17.14,13.99,9780345510440,2008-09-30,Random House Publishing Group,
Book not found,,,,,,,,
Book not found,,,,,,,,
The Unbound Empire,Melissa Caruso,Paperback,24.99,21.75,9780356510644,2019-04-23,Little Brown,560
Under The Same Sky,Joseph Kim,ePUB,25.29,20.99,9780544373181,2023-11-21,HarperCollins,
Book not found,,,,,,,,
Book not found,,,,,,,,
Looking Good Dead,Peter James,Paperback,22.99,22.4,9781509898831,2019-04-23,Pan Macmillan UK,544
Book not found,,,,,,,,
Book not found,,,,,,,,
